id товара;наименование;ссылка на товар;промо цена;регулярная цена;бренд
228440;Кофе в капсулах Verle Classic Mousse для кофемашин Nespresso 10шт, 55г;https://online.metro-cc.ru/products/kofe-verle-classic-mousse-v-kapsulah-55g-x-10sht-55g;359;359;VERLE
495117;Кофе Nescafe Gold Barista растворимый, 85г;https://online.metro-cc.ru/products/nescafe-gold-v-rastvorimom-barista-85g;339;359;NESCAFE
373045;Кофе Жокей классический молотый натуральный жареный, 250г;https://online.metro-cc.ru/products/zhokej-naturalnyj-zharenyj-klassicheskij-250g;359;359;ЖОКЕЙ
226505;Кофе MacCoffee Gold растворимый, 100г;https://online.metro-cc.ru/products/100g-kofe-maccoffee-gold-rastvorimyy-stb;229;297;MACCOFFEE
230301;Кофе Monarch Crema растворимый, 95г;https://online.metro-cc.ru/products/kofe-monarch-crema-rastvorimyy-95g;349;399;MONARCH
226524;Напиток кофейный MacCoffee Capuccino Dolce Vita порционный (24г x 20шт), 480г;https://online.metro-cc.ru/products/20shth24g-kofe-maccoffee-cappuccino-dolce-vita-portsionnyy;299;369;MACCOFFEE
240385;Кофе в капсулах Monarch Espresso 7 Classico для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/10shth52g-kofe-monarch-espresso-7-classico-molotyy-kapsuly;299;369;MONARCH
228243;Кофе Жокей Imperial растворимый, 75г;https://online.metro-cc.ru/products/75g-kofe-zhokey-imper-rastvorimyy;216;216;ЖОКЕЙ
224734;Кофе Monarch Original жареный молотый, 230г;https://online.metro-cc.ru/products/230g-kofe-monarch-original-zharenyy-molotyy;369;369;MONARCH
228239;Кофе Jardin Колумбия Меделлин растворимый, 75г;https://online.metro-cc.ru/products/75g-kofe-jardin-kolumbiya-medellin-rastvorimyy;276;276;JARDIN
238894;Кофе Jardin Американо 3в1 (15г x 8шт), 120г;https://online.metro-cc.ru/products/8shth15g-kofe-jardin-amerikano-3v1;289;289;JARDIN
228237;Кофе Jardin Kenya Kilimanjaro растворимый, 75г;https://online.metro-cc.ru/products/75g-kofe-jardin-keniya-kilimandzharo-rastvorimyy;236;236;JARDIN
599055;Кофе Жокей Импер растворимый, 95г;https://online.metro-cc.ru/products/art-599055;259;259;ЖОКЕЙ
420359;Кофе Жокей Триумф растворимый сублимированный, 95г;https://online.metro-cc.ru/products/zhokej-triumf-95g;293;293;ЖОКЕЙ
50642;Кофе Жокей Caffe Italiano молотый, 250г;https://online.metro-cc.ru/products/art-50642;359;359;ЖОКЕЙ
